2023-10-03 11:22:44.640 [info] Log level: Info
2023-10-03 11:22:44.640 [info] Validating found git in: "git"
2023-10-03 13:30:54.203 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:31:30.611 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:31:48.584 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:31:50.450 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:31:51.924 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:31:54.049 [info] > git rev-parse --show-toplevel [16ms]
2023-10-03 13:32:01.661 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 13:32:22.503 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:38:53.345 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:39:15.487 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:21.587 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:23.347 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:27.404 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:39:30.646 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:39:42.062 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:54.509 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:59.703 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:40:01.592 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:40:05.525 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 13:40:38.092 [info] > git rev-parse --show-toplevel [7ms]
2023-10-03 13:40:40.589 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:43:57.983 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:46:12.039 [info] > git rev-parse --show-toplevel [5ms]
2023-10-03 13:47:41.693 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:47:48.946 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:47:53.965 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:47:59.280 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:48:04.903 [info] > git rev-parse --show-toplevel [11ms]
2023-10-03 13:48:20.535 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:48:26.387 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:48:30.445 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:48:39.409 [info] > git rev-parse --show-toplevel [9ms]
2023-10-03 13:48:42.892 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:49:32.567 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:49:41.614 [info] > git rev-parse --show-toplevel [9ms]
2023-10-03 13:49:43.526 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:50:24.693 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:50:29.675 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:50:49.522 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:52:06.030 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:52:13.999 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:55:39.411 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:57:33.897 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 14:00:07.835 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 14:00:38.232 [info] > git rev-parse --show-toplevel [3ms]
